"id","vocabulary_text","vocabulary_sound","kanji_text","kanji_meaning","vocabulary_meaning","highlighted","lesson_id"
"0","わたし","watashi.mp3","","","tôi","","1"
"1","わたしたち","watashitachi.mp3","","","chúng tôi, chúng ta","","1"
"2","あなた","anata.mp3","","","anh/ chị/ ông/ bà,","","1"
"3","あのひと","anohito.mp3","あの人","NHÂN","người kia, người đó","","1"
"4","あのかた","anokata.mp3","あの方","PHƯƠNG","vị kia","","1"
"5","みなさん","minasan.mp3","皆さん","GIAI","các anh chị, các ông bà, các bạn, quý vị","","1"
"6","～さん","san.mp3","","","anh, chị, ông, bà","","1"
"7","～ちゃん","chan.mp3","","","(hậu tố thêm vào sau tên của trẻ em thay cho 「～さん」)","","1"
"8","～くん","kun.mp3","～君","QUÂN","(hậu tố thêm vào sau tên của em trai)","","1"
"9","～じん","jin.mp3","～人","NHÂN","người (nước)~”; ví dụ  「アメリカじん」: người Mỹ)","","1"
"10","せんせい","sensei.mp3","先生","TIÊN SINH","thầy/ cô","","1"
"11","きょうし","kyoushi.mp3","教師","GIÁO SƯ","giáo viên","","1"
"12","がくせい","gakusei.mp3","学生","HỌC SINH","học sinh, sinh viên","","1"
"13","かいしゃいん","kaishain.mp3","会社員","HỘI XÃ VIÊN","nhân viên công ty","","1"
"14","しゃいん","syain.mp3","社員","XÃ VIÊN","nhân viên công ty ~","","1"
"15","ぎんこういん","ginkouin.mp3","銀行員","NGÂN HÀNH VIÊN","nhân viên ngân hàng","","1"
"16","いしゃ","isya.mp3","医者","Y GIẢ","bác sĩ","","1"
"17","けんきゅうしゃ","kenkyuusya.mp3","研究者","NGHIÊN CỨU GIẢ","nhà nghiên cứu","","1"
"18","エンジニア","enjinia.mp3","","","kỹ sư","","1"
"19","だいがく","daigaku.mp3","大学","ĐẠI HỌC","đại học, trường đại học","","1"
"20","びょういん","byouin.mp3","病院","BỆNH VIỆN","bệnh viện","","1"
"21","でんき","denki.mp3","電気","ĐIỆN KHÍ","điện, đèn điện","","1"
"22","だれ（どなた）","dare.mp3","","","ai (「どなた」là cách nói lịch sự của「だれ」, vị nào)","","1"
"23","―さい","sai.mp3","－歳","NHẤT TUẾ","―tuổi","","1"
"24","なんさい","nansai.mp3","何歳","HÀ TUẾ","mấy tuổi, bao nhiêu tuổi","","1"
"25","はい","hai.mp3","","","vâng, dạ","","1"
"26","いいえ","iie.mp3","","","không","","1"
"27","しつれいですが","shitsureidesuga.wav","失礼ですが","THẤT LỄ","xin lỗi,…","","1"
"28","おなまえは？","onamaewa.wav","お名前は？","DANH TIỀN","Tên anh/chị là gì?","","1"
"29","はじめまして。","hajimemashite.wav","初めまして。","SƠ","Rất hân hạnh được gặp anh/chị","","1"
"30","どうぞよろしく[おねがいします]。","dozoyoroshikuonegaishimasu.wav","","","Rất mong được sự giúp đỡ của anh/chị.","","1"
"31","こちらは～さんです。","kochirawa.wav","","","Đây là anh/chị/ông/bà ~.","","1"
"32","～からきました。","karakimashita.wav","～から来ました。","LAI","(tôi) đến từ ~.","","1"
"33","アメリカ","amerika.wav","","","Nước Mỹ","","1"
"34","イギリス","igirisu.wav","","","Nước Anh","","1"
"35","インド","indo.wav","","","Ấn Độ","","1"
"36","インドネシア","indoneshia.wav","","","Indonesia","","1"
"37","かんこく","kankoku.wav","韓国","HÀN QUỐC","Hàn Quốc","","1"
"38","タイ","tai.wav","","","Thái Lan","","1"
"39","ちゅうごく","chuugoku.wav","中国","TRUNG QUỐC","Trung Quốc","","1"
"40","ドイツ","doitsu.wav","","","Nước Đức","","1"
"41","にほん","nihon.wav","日本","NHẬT BẢN","Nhật Bản","","1"
"42","フランス","furansu.wav","","","Pháp","","1"
"43","ブラジル","burajiru.wav","","","Braxin","","1"
"44","さくらだいがく","sakuradaigaku.wav","さくら大学","ĐẠI HỌC","Đại học Sakura(giả tưởng)","","1"
"45","ふじだいがく","fujidaigaku.wav","富士大学","PHÚ SĨ ĐẠI HỌC","Đại học Phú Sĩ(giả tưởng)","","1"
"46","ＩＭＣ ／ パワーでんき ／ブラジルエアー","imc.wav","","","tên các công ty (giả tưởng)","","1"
"47","ＡＫＣ","akc.wav","","","tên một tổ chức (giả tưởng)","","1"
"48","こうべびょういん","koubebyouin.wav","神戸病院","THẦN HỘ  BỆNH VIỆN","tên một bệnh viện (giả tưởng)","","1"
"49","これ","kore.mp3","","","cái này, đây (vật ở gần người nói)","","2"
"50","それ","sore.mp3","","","cái đó, đó (vật ở gần người nghe)","","2"
"51","あれ","are.mp3","","","cái kia, kia (vật ở xa cả người nói và người nghe)","","2"
"52","この～","kono.mp3","","","~ này","","2"
"53","その～","sono.mp3","","","~ đó","","2"
"54","あの～","ano.mp3","","","~ kia","","2"
"55","ほん","hon.mp3","本","BẢN/BỔN","sách","","2"
"56","じしょ","jisyo.mp3","辞書","TỪ THƯ","từ điển","","2"
"57","ざっし","zasshi.wav","雑誌","TẠP CHÍ","tạp chí","","2"
"58","しんぶん","shinbun.mp3","新聞","TÂN VĂN","báo","","2"
"59","ノート","k-nooto.mp3","","","vở","","2"
"60","てちょう","techoo.mp3","手帳","THỦ TRƯƠNG","sổ tay","","2"
"61","めいし","meishi.mp3","名刺","DANH THÍCH","danh thiếp","","2"
"62","カード","k-kaado.mp3","","","thẻ, cạc","","2"
"63","テレホンカード","k-terehonkaado.mp3","","","thẻ điện thoại","","2"
"64","えんぴつ","enpitsu.mp3","鉛筆","DUYÊN BÚT","bút chì","","2"
"65","ボールペン","borupen.wav","","","bút bi","","2"
"66","シャープペンシル","k-shaapupenshiru.mp3","","","bút chì kim, bút chì bấm","","2"
"67","かぎ","kagi.mp3","","","chìa khóa","","2"
"68","とけい","tokei.mp3","時計","THỜI KẾ","đồng hồ","","2"
"69","かさ","kasa.mp3","傘","TẢN","ô, dù","","2"
"70","かばん","kaban.mp3","","","cặp sách, túi sách","","2"
"71","[カセット]テープ","k-[kasetto]teepu.mp3","","","băng [cát-xét]","","2"
"72","テープレコーダー","k-teepurekoodaa.mp3","","","máy ghi âm","","2"
"73","テレビ","k-terebi.mp3","","","tivi","","2"
"74","ラジオ","k-rajio.mp3","","","Radio","","2"
"75","カメラ","k-kamera.mp3","","","máy ảnh","","2"
"76","コンピューター","k-konpyuutaa.mp3","","","máy vi tính","","2"
"77","じどうしゃ","jidousya.mp3","自動車","TỰ ĐỘNG XA","ô tô, xe hơi","","2"
"78","つくえ","tsukue.mp3","","","cái bàn","","2"
"79","いす","isu.mp3","","","cái ghế","","2"
"80","チョコレート","k-chokoreeto.mp3","","","Socola","","2"
"81","コーヒー","k-koohii.mp3","","","cà phê","","2"
"82","えいご","eigo.mp3","","","tiếng anh","","2"
"83","にほんご","nihongo.mp3","","","tiếng nhật","","2"
"84","なに","nani.wav","","","cái gì","","2"
"85","なん","nan.mp3","","","cái gì","","2"
"86","そう","sou.mp3","","","đúng rồi","","2"
"87","ちがいます","chigaimasu.wav","違います","VI","không phải, không đúng, sai rồi","","2"
"88","そうですか","sodesuka.wav","","","thế à, vậy à","","2"
"89","あのう","ano.mp3","","","à, ờ","","2"
"90","ほんのきもち","honnokimochi.wav","ほんの気持ち","KHÍ TRÌ","chỉ là chút lòng thành thôi","","2"
"91","どうぞ","dozo.wav","","","xin mời","","2"
"92","どうも","domo.wav","","","cám ơn","","2"
"93","どうもありがとうございます","domoarigatogozaimasu.wav","","","xin chân thành cám ơn","","2"
"94","これからおせわになります","korekaraosewaninarimasu.wav","","","từ nay tôi rất mong sự giúp đỡ của anh chị","","2"
"95","こちらこそ　よろしく","kochirakosoyoroshiku.mp3","","","chính tôi mới phải xin ông giúp đỡ cho","","2"
"96","ここ","koko.mp3","","","chỗ này, đây","","3"
"97","そこ","soko.mp3","","","chỗ đó, đó","","3"
"98","あそこ","asoko.mp3","","","chỗ kia, kia","","3"
"99","どこ","doko.mp3","","","chỗ nào, đâu","","3"
"100","こちら","kochira.mp3","","","phía này, đằng này, chỗ này, đây","","3"
"101","そちら","sochira.mp3","","","phía đó, đằng đó, chỗ đó, đó","","3"
"102","あちら","achira.mp3","","","phía kia, đằng kia, chỗ kia, kia","","3"
"103","どちら","dochira.mp3","","","phía nào, đằng nào, chỗ nào, đâu","","3"
"104","きょうしつ","kyoushitsu.mp3","教室","GIÁO THẤT","lớp học, phòng học","","3"
"105","しょくどう","syokudou.mp3","食堂","THỰC ĐƯỜNG","nhà ăn","","3"
"106","じむしょ","jimusyo.mp3","事務所","SỰ VỤ SỞ","văn phòng","","3"
"107","かいぎしつ","kaigishitsu.mp3","会議室","HỘI NGHỊ THẤT","phòng họp","","3"
"108","うけつけ","uketsuke.mp3","受付","THỤ PHÓ","bộ phận tiếp tân, phòng thường trực","","3"
"109","ロビー","k-robii.mp3","","","hành lang, đại sảnh","","3"
"110","へや","heya.mp3","部屋","BỘ ỐC","căn phòng","","3"
"111","トイレ（おてあらい）","k_toiree(otearai).mp3","（お手洗い）","THỦ TẨY","nhà vệ sinh, phòng vệ sinh, toa-lét","","3"
"112","かいだん","kaidan.mp3","階段","GIAI ĐOẠN","cầu thang","","3"
"113","エレベーター","k_erebe-taa.mp3","","","thang máy","","3"
"114","エスカレーター","k_esukareetaa.mp3","","","thang cuốn","","3"
"115","[お]くに","okuni.mp3","[お]国","QUỐC","đất nước (của anh/chị)","","3"
"116","かいしゃ","kaisya.mp3","会社","HỘI XÃ","công ty","","3"
"117","うち","uchi.mp3","","","nhà","","3"
"118","でんわ","denwa.mp3","電話","ĐIỆN THOẠI","máy điện thoại, điện thoại","","3"
"119","くつ","kutsu.mp3","靴","NGOA","giầy","","3"
"120","ネクタイ","k-nekutai.mp3","","","cà vạt","","3"
"121","ワイン","k-wain.mp3","","","rượu vang","","3"
"122","たばこ","tabako.mp3","","","thuốc lá","","3"
"123","うりば","uriba.mp3","売り場","MẠI TRƯỜNG","quầy bán (trong một cửa hàng bách hóa)","","3"
"124","ちか","chika.mp3","地下","ĐỊA HẠ","tầng hầm, dưới mặt đất","","3"
"125","―かい（－がい）","kai(gai).mp3","－階","GIAI","tầng thứ -","","3"
"126","なんがい","nangai.mp3","何階","HÀ GIAI","tầng mấy","","3"
"127","―えん","en.mp3","―円","VIÊN","-yên","","3"
"128","いくら","ikura.mp3","","","bao nhiêu tiền","","3"
"129","ひゃく","hyaku.mp3","百","BÁCH","trăm","","3"
"130","せん","sen.mp3","千","THIÊN","nghìn","","3"
"131","まん","man.mp3","万","VẠN","mười nghìn, vạn","","3"
"132","すみません","sumimasen.mp3","","","Xin lỗi","","3"
"133","～でございます","degozaimasu.mp3","","","(cách nói lịch sự của 「です」)","","3"
"134","みせてください","misetekudasai.mp3","[～を]見せてください","KIẾN","cho tôi xem [~]","","3"
"135","じゃ","ja.mp3","","","thế thì, vậy thì","","3"
"136","[～を]ください","kudasai.mp3","","","cho tôi [~]","","3"
"137","しんおおさか","shinosaka.wav","新大阪","TÂN ĐẠI PHẢN","tên một nhà ga ở Osaka","","3"
"138","イタリア","itaria.wav","","","Ý","","3"
"139","スイス","suisu.wav","","","Thụy Sĩ","","3"
"140","ＭＴ/ヨーネン/アキックス","mt.wav","","","tên các công ty giả tưởng","","3"
"141","おきます","okimasu.mp3","起きます","KHỞI","dậy, thức dậy","","4"
"142","ねます","nemasu.mp3","寝ます","TẨM","ngủ, đi ngủ","","4"
"143","はたらきます","hatarakimasu.mp3","働きます","ĐỘNG","làm việc","","4"
"144","やすみます","yasumimasu.mp3","休みます","HƯU","nghỉ, nghỉ ngơi","","4"
"145","べんきょうします","benkyoushimasu.mp3","勉強します","MIỄN CƯỜNG","học","","4"
"146","おわります","owarimasu.mp3","終わります","CHUNG","hết, kết thúc, xong","","4"
"147","デパート","k_depaato.mp3","","","bách hóa","","4"
"148","ぎんこう","ginkou.mp3","銀行","NGÂN HÀNH","ngân hàng","","4"
"149","ゆうびんきょく","yuubinkyoku.mp3","郵便局","BƯU TIỆN CỤC","bưu điện","","4"
"150","としょかん","tosyokan.mp3","図書館","ĐỒ THƯ QUÁN","thư viện","","4"
"151","びじゅつかん","bijutsukan.mp3","美術館","MỸ THUẬT QUÁN","bảo tàng mỹ thuật","","4"
"152","いま","ima.mp3","今","KIM","bây giờ","","4"
"153","―じ","ji.mp3","－時","THỜI","-giờ","","4"
"154","―ふん（－ぷん）","fun(pun).mp3","―分","PHÂN","- phút","","4"
"155","はん","han.mp3","半","BÁN","rưỡi, nửa","","4"
"156","なんじ","nanji.mp3","何時","HÀ THỜI","mấy giờ","","4"
"157","なんぷん","nanpun.mp3","何分","HÀ PHÂN","mấy phút","","4"
"158","ごぜん","gozen.mp3","午前","NGỌ TIỀN","sáng, trước 12 giờ trưa","","4"
"159","ごご","gogo.mp3","午後","NGỌ HẬU","chiều, sau 12 giờ trưa","","4"
"160","あさ","asa.mp3","朝","TRIỀU","buổi sáng, sáng","","4"
"161","ひる","hiru.mp3","昼","TRÚ","buổi trưa, trưa","","4"
"162","ばん（よる）","yoru.mp3","晩(夜)","VÃN(DẠ)","buổi tối, tối","","4"
"163","おととい","ototoi.mp3","","","hôm kia","","4"
"164","きのう","kinou.mp3","","","hôm qua","","4"
"165","きょう","kyou.mp3","","","hôm nay","","4"
"166","あした","ashita.mp3","","","ngày mai","","4"
"167","あさって","asatte.mp3","","","ngày kia","","4"
"168","けさ","kesa.mp3","","","sáng nay","","4"
"169","こんばん","konban.mp3","今晩","KIM VÃN","tối nay","","4"
"170","やすみ","yasumi.mp3","休み","HƯU","nghỉ, nghỉ phép, ngày nghỉ","","4"
"171","ひるやすみ","hiruyasumi.mp3","昼休み","TRÚ HƯU","nghỉ trưa","","4"
"172","まいあさ","maiasa.mp3","毎朝","MỖI TRIỀU","hàng sáng, mỗi sáng","","4"
"173","まいばん","maiban.mp3","毎晩","MỖI VÃN","hàng tối, mỗi tối","","4"
"174","まいにち","mainichi.mp3","毎日","MỖI NHẬT","hàng ngày, mỗi ngày","","4"
"175","げつようび","getsuyoubi.mp3","月曜日","NGUYỆT DIỆU NHẬT","thứ hai","","4"
"176","かようび","kayoubi.mp3","火曜日","HỎA DIỆU NHẬT","thứ ba","","4"
"177","すいようび","suiyoubi.mp3","水曜日","THỦY DIỆU NHẬT","thứ tư","","4"
"178","もくようび","mokuyoubi.mp3","木曜日","MỘC DIỆU NHẬT","thứ năm","","4"
"179","きんようび","kinyoubi.mp3","金曜日","KIM DIỆU NHẬT","thứ sáu","","4"
"180","どようび","doyoubi.mp3","土曜日","THỔ DIỆU NHẬT","thứ bảy","","4"
"181","にちようび","nichiyoubi.mp3","日曜日","NHẬT DIỆU NHẬT","chủ nhật","","4"
"182","なんようび","nanyoubi.mp3","何曜日","HÀ DIỆU NHẬT","thứ mấy","","4"
"183","ばんごう","bangou.mp3","番号","PHIÊN HIỆU","số (số điện thoại, số phòng)","","4"
"184","なんばん","nanban.mp3","何番","HÀ PHIÊN","số bao nhiêu, số mấy","","4"
"185","～から","kara.mp3","","","~ từ","","4"
"186","～まで","made.mp3","","","~ đến","","4"
"187","～と","to.mp3","","","~ và (dùng để nối hai danh từ)","","4"
"188","そちら","sochira.mp3","","","phía đó, đằng đó, chỗ đó, đó","","4"
"189","たいへんですね","taihendesune.mp3","大変ですね","ĐẠI BIẾN","Anh/chị vất vả quá.","","4"
"190","えーと","eeto.mp3","","","ừ, à","","4"
"191","104","104.wav","","","Số điện thoại của dịch vụ hướng dẫn số điện thoại","","4"
"192","おねがいします","onegaishimasu.mp3","お願いします","NGUYÊỆN","Nhờ anh/chị. Phiền anh/chị. Xin vui lòng giúp đỡ","","4"
"193","かしこまりました","kashikomarimashita.mp3","","","Tôi hiểu rồi ạ./ vâng, được rồi ạ.","","4"
"194","おといあわせのばんごう","otoiawasenobangou.mp3","お問い合わせの番号","VẤN HỢP PHIÊN HIỆU","Số điện thoại mà ông/ bà muốn hỏi","","4"
"195","[どうも]ありがとうございました。","doumoarigatougozaimashita.wav","","","Xin cám ơn ông/bà","","4"
"196","ニューヨーク","nyuyoku.wav","","","New York","","4"
"197","ペキン","pekin.wav","","","Bắc Kinh","","4"
"198","ロンドン","rondon.wav","","","Luân Đôn","","4"
"199","バンコク","bankoku.wav","","","Băng Cốc","","4"
"200","ロサンゼルス","rosanzerusu.wav","","","Los Angeles","","4"
"201","やまとびじゅつかん","yamatobijutsukan.wav","やまと美術館","MỸ THUẬT QUÁN","tên một bảo tàng Mỹ thuật (giả tưởng)","","4"
"202","おおさかデパート","osakadepato.wav","大阪デパート","ĐẠI PHẢN","tên một bách hóa (giả tưởng)","","4"
"203","みどりとしょかん","midoritoshokan.wav","みどり図書館","ĐỒ THƯ QUÁN","tên một thư viện (giả tưởng)","","4"
"204","アップルぎんこう","appuruginko.wav","アップル銀行","NGÂN HÀNH","tên một ngân hàng (giả tưởng)","","4"
"205","いきます","ikimasu.mp3","行きます","HÀNH","đi","","5"
"206","きます","kimasu.mp3","来ます","LAI","đến","","5"
"207","かえります","kaerimasu.mp3","帰ります","QUY","về","","5"
"208","がっこう","gakkou.mp3","学校","HỌC HIỆU","trường học","","5"
"209","スーパー","k_suupaa.mp3","","","siêu thị","","5"
"210","えき","eki.mp3","駅","DỊCH","ga, nhà ga","","5"
"211","ひこうき","hikouki.mp3","飛行機","PHI HÀNH CƠ","máy bay","","5"
"212","ふね","fune.mp3","船","THUYỀN","thuyền, tàu thủy","","5"
"213","でんしゃ","densya.mp3","電車","ĐIỆN XA","tàu điện","","5"
"214","ちかてつ","chikatetsu.mp3","地下鉄","ĐỊA HẠ THIẾT","tàu điện ngầm","","5"
"215","しんかんせん","shinkansen.mp3","新幹線","TÂN CÁN TUYẾN","tàu Shinkansen (tàu điện siêu tốc của Nhật)","","5"
"216","バス","k_basu.mp3","","","xe buýt","","5"
"217","タクシー","k_takushii.mp3","","","tắc-xi","","5"
"218","じてんしゃ","jitensya.mp3","自転車","TỰ CHUYỂN XA","xe đạp","","5"
"219","あるいて","aruite.mp3","歩いて","BỘ","đi bộ","","5"
"220","ひと","hito.mp3","人","NHÂN","người","","5"
"221","ともだち","tomodachi.mp3","友達","HỮU ĐẠT","bạn, bạn bè","","5"
"222","かれ","kare.mp3","彼","BỈ","anh ấy, bạn trai","","5"
"223","かのじょ","kanojo.mp3","彼女","BỈ NỮ","chị ấy, bạn gái","","5"
"224","かぞく","kazoku.mp3","家族","GIA TỘC","gia đình","","5"
"225","ひとりで","hitoride.mp3","一人で","NHẤT NHÂN","một mình","","5"
"226","せんしゅう","sensyuu.mp3","先週","TIÊN CHU","tuần trước","","5"
"227","こんしゅう","konsyuu.mp3","今週","KIM CHU","tuần này","","5"
"228","らいしゅう","raisyuu.mp3","来週","LAI CHU","tuần sau","","5"
"229","こんげつ","kongetsu.mp3","今月","KIM NGUYỆT","tháng này","","5"
"230","らいげつ","raigetsu.mp3","来月","LAI NGUYỆT","tháng sau","","5"
"231","きょねん","kyonen.mp3","去年","KHỨ NIÊN","năm ngoái","","5"
"232","ことし","kotoshi.mp3","","","năm nay","","5"
"233","らいねん","rainen.mp3","来年","LAI NIÊN","năm sau","","5"
"234","―がつ","gatsu.mp3","―月","NGUYỆT","tháng -","","5"
"235","なんがつ","nangatsu.mp3","何月","HÀ NGUYỆT","tháng mấy","","5"
"236","ついたち","tsuitachi.mp3","１日","NHẬT","ngày mồng 1","","5"
"237","ふつか","futsuka.mp3","２日","NHẬT","ngày mồng 2, 2 ngày","","5"
"238","みっか","mikka.mp3","３日","NHẬT","ngày mồng 3, 3 ngày","","5"
"239","よっか","yokka.mp3","４日","NHẬT","ngày mồng 4, 4 ngày","","5"
"240","いつか","itsuka.mp3","５日","NHẬT","ngày mồng 5, 5 ngày","","5"
"241","むいか","muika.mp3","６日","NHẬT","ngày mồng 6, 6 ngày","","5"
"242","なのか","nanoka.mp3","７日","NHẬT","ngày mồng 7, 7 ngày","","5"
"243","ようか","youka.mp3","８日","NHẬT","ngày mồng 8, 8 ngày","","5"
"244","ここのか","kokonoka.mp3","９日","NHẬT","ngày mồng 9, 9 ngày","","5"
"245","とおか","tooka.mp3","１０日","NHẬT","ngày mồng 10, 10 ngày","","5"
"246","じゅうよっか","juuyokka.mp3","１４日","NHẬT","ngày 14, 14 ngày","","5"
"247","はつか","hatsuka.mp3","２０日","NHẬT","ngày 20, 20 ngày","","5"
"248","にじゅうよっか","nijuuyokka.mp3","２４日","NHẬT","ngày 24, 24 ngày","","5"
"249","―にち","nichi.mp3","―日","NHẬT","ngày -, - ngày","","5"
"250","なんにち","nannichi.mp3","何日","HÀ NHẬT","ngày mấy, ngày bao nhiêu, mấy ngày, bao nhiêu ngày","","5"
"251","いつ","itsu.mp3","","","bao giờ, khi nào","","5"
"252","たんじょうび","tanjoubi.mp3","誕生日","ĐẢN SINH NHẬT","sinh nhật","","5"
"253","ふつう","futsuu.mp3","普通","PHỔ THÔNG","tàu thường (dừng cả ở các ga lẻ)","","5"
"254","きゅうこう","kyuukou.mp3","急行","CẤP HÀNH","tàu tốc hành","","5"
"255","とっきゅう","tokkyuu.mp3","特急","ĐẶC CẤP","tàu tốc hành đặc biệt","","5"
"256","つぎの","tsugino.mp3","次の","THỨ","tiếp theo","","5"
"257","どういたしまして","douitashimashite.mp3","","","Không có gì.","","5"
"258","―ばんせん","bansen.mp3","―番線","PHIÊN TUYẾN","sân ga số -","","5"
"259","はかた","hakata.wav","博多","BÁC ĐA","tên một khu phố ở Kyushu","","5"
"260","ふしみ","fushimi.wav","伏見","PHỤC KIẾN","tên một khu phố ở Kyoto","","5"
"261","こうしえん","koshien.wav","甲子園","GIÁP TỬ VIÊN","tên một khu phố ở Osaka","","5"
"262","おおさかじょう","osakajo.wav","大阪城","ĐẠI PHẢN THÀNH","Lâu đài Osaka, một lâu đài nổi tiếng ở Osaka","","5"
"263","たべます","tabemasu.mp3","食べます","THỰC","ăn","","6"
"264","のみます","nomimasu.mp3","飲みます","ẨM","uống","","6"
"265","すいます","suimasu.mp3","吸います","HẤP","","","6"
"266","[たばこを～]","(null)","[たばこを～]","","hút [thuốc lá]","","6"
"267","みます","mimasu.mp3","見ます","KIẾN","xem, nhìn, trông","","6"
"268","ききます","kikimasu.mp3","聞きます","VĂN","nghe","","6"
"269","よみます","yomimasu.mp3","読みます","ĐỘC","đọc","","6"
"270","かきます","kakimasu.mp3","書きます","THƯ","viết, vẽ","","6"
"271","かいます","kaimasu.mp3","買います","MÃI","mua","","6"
"272","とります[しゃしんを～]","torimasu.mp3","撮ります[写真を～]","TOÁT TẢ CHÂN","chụp [ảnh]","","6"
"273","します","shimasu.mp3","","","làm","","6"
"274","あいます[ともだちに～]","aimasu.mp3","会います[友達に～]","HỘI HỮU ĐẠT","gặp [bạn]","","6"
"275","ごはん","gohan.mp3","","","cơm, bữa ăn","","6"
"276","あさごはん","asagohan.mp3","朝ごはん","TRIỀU","cơm sáng","","6"
"277","ひるごはん","hirugohan.mp3","昼ごはん","TRÚ","cơm trưa","","6"
"278","ばんごはん","bangohan.mp3","晩ごはん","VÃN","cơm tối","","6"
"279","パン","k_pan.mp3","","","bánh mì","","6"
"280","たまご","tamago.mp3","卵","NOÃN","trứng","","6"
"281","にく","niku.mp3","肉","NHỤC","thịt","","6"
"282","さかな","sakana.mp3","魚","NGƯ","cá","","6"
"283","やさい","yasai.mp3","野菜","DÃ THÁI","rau","","6"
"284","くだもの","kudamono.mp3","果物","QUẢ VẬT","hoa quả, trái cây","","6"
"285","みず","mizu.mp3","水","THỦY","nước","","6"
"286","おちゃ","ocha.mp3","お茶","TRÀ","trà (nói chung)","","6"
"287","こうちゃ","koucha.mp3","紅茶","HỒNG TRÀ","trà đen","","6"
"288","ぎゅうにゅう","gyuunyuu(k_miruku).mp3","牛乳","NGƯU NHŨ","sữa bò","","6"
"289","(ミルク)","(null)","","","","","6"
"290","ジュース","k_juusu.mp3","","","nước hoa quả","","6"
"291","ビール","k_biiru.mp3","","","bia","","6"
"292","[お]さけ","osake.mp3","[お]酒","TỬU","rượu, rượu sake","","6"
"293","ビデオ","k_bideo.mp3","","","video, băng video, đầu video","","6"
"294","えいが","eiga.mp3","映画","ẢNH HỌA","phim, điện ảnh","","6"
"295","ＣＤ","CD.mp3","","","đĩa CD","","6"
"296","てがみ","tegami.mp3","手紙","THỦ CHỈ","thư","","6"
"297","レポート","k_repooto.mp3","","","báo cáo","","6"
"298","しゃしん","syashin.mp3","写真","TẢ CHÂN","ảnh","","6"
"299","みせ","mise.mp3","店","ĐIẾM","cửa hàng, tiệm","","6"
"300","レストラン","k_resutoran.mp3","","","nhà hàng","","6"
"301","にわ","niwa.mp3","庭","ĐÌNH","vườn","","6"
"302","しゅくだい","syukudai.mp3","宿題","TÚC ĐỀ","bài tập về nhà (～をします: làm bài tập)","","6"
"303","テニス","k_tenisu.mp3","","","quần vợt (～をします: đánh quần vợt)","","6"
"304","サッカー","k_sakkaa.mp3","","","bóng đá (～をします: chơi bóng đá)","","6"
"305","[お]はなみ","ohanami.mp3","[お]花見","HOA KIẾN","việc ngắm hoa anh đào (～をします: ngắm hoa anh đào)","","6"
"306","なに","nani.mp3","何","HÀ","cái gì","","6"
"307","いっしょに","issyoni.mp3","","","cùng, cùng nhau","","6"
"308","ちょっと","chotto.mp3","","","một chút","","6"
"309","いつも","itsumo.mp3","","","luôn luôn, lúc nào cũng","","6"
"310","ときどき","tokidoki.mp3","時々","THÌ (KÉP)","thỉnh thoảng","","6"
"311","それから","sorekara.mp3","","","sau đó, tiếp theo","","6"
"312","ええ","ee.mp3","","","vâng, được (cách nói thân mật của 「はい」)","","6"
"313","いいですね。","iidesune.mp3","","","Được đấy nhỉ./ hay quá.","","6"
"314","わかりました。","wakarimashita.mp3","","","Tôi hiểu rồi/ vâng ạ.","","6"
"315","（なんですか）","nandesuka.mp3","何ですか。","HÀ","Có gì đấy ạ?/ cái gì vậy?","","6"
"316","じゃ、また[あした]。","jamataashita.mp3","","","Hẹn gặp lại [ngày mai].","","6"
"317","メキシコ","mekishiko.wav","","","Mexico","","6"
"318","おおさかじょうこうえん","oosakajoukouen.wav","大阪城公園","ĐẠI PHẢN THÀNH CÔNG VIÊN","Công viên lâu đài Osaka","","6"
"319","きります","kirimasu.mp3","切ります","THIẾT","cắt","","7"
"320","おくります","okurimasu.mp3","送ります","TỐNG","gửi","","7"
"321","あげます","agemasu.mp3","","","cho, tặng","","7"
"322","もらいます","moraimasu.mp3","","","nhận","","7"
"323","かします","kashimasu.mp3","貸します","THẢI","cho mượn, cho vay","","7"
"324","かります","karimasu.mp3","借ります","TÁ","mượn, vay","","7"
"325","おしえます","oshiemasu.mp3","教えます","GIÁO","dạy","","7"
"326","ならいます","naraimasu.mp3","習います","TẬP","học, tập","","7"
"327","[でんわを～]かけます","kakemasu.mp3","[電話を～]かけます","ĐIỆN THOẠI","gọi [điện thoại]","","7"
"328","て","te.mp3","手","THỦ","tay","","7"
"329","はし","hashi.mp3","","","đũa","","7"
"330","スプーン","k_supuun.mp3","","","thìa","","7"
"331","ナイフ","k_naifu.mp3","","","dao","","7"
"332","フォーク","k_fooku.mp3","","","nĩa","","7"
"333","はさみ","hasami.mp3","","","kéo","","7"
"334","ファクス","k_fakkusu.mp3","","","fax","","7"
"335","ワープロ","k_waapuro.mp3","","","máy đánh chữ","","7"
"336","パソコン","k_pasokon.mp3","","","máy vi tính cá nhân","","7"
"337","パンチ","k-panchi.mp3","","","cái đục lỗ","","7"
"338","ホッチキス","k_hocchikisu.mp3","","","cái dập ghim","","7"
"339","セロテープ","k_seroteepu.mp3","","","băng dính","","7"
"340","けしゴム","keshigomu.mp3","","","cái tẩy","","7"
"341","かみ","kami.mp3","紙","CHỈ","giấy","","7"
"342","はな","hana.mp3","花","HOA","hoa","","7"
"343","シャツ","k_syatsu.mp3","","","áo sơ mi","","7"
